symbol_in,symbol_out,chain,sc_in,des_in,sc_out,des_out,status,CEX_BINANCE,CEX_GATE,CEX_MEXC,CEX_INDODAX,CEX_OKX,CEX_BITGET,DEX_KYBER,DEX_OKX,DEX_FLYTRADE,DEX_MATCHA,DEX_ODOS,DEX_VELORA,DEX_ONEINCH,DEX_OPENOCEAN,DEX_LIFIDEX,DEX_SUSHI,DEX_COWSWAP,DEX_NORDSTERN,DEX_JUPITER,DEX_SWOOP,DEX_RABBY,DEX_RAINBOW,DEX_BACKPACK,DEX_SWING,DEX_TALISMAN,DEX_ZAPPER,DEX_JUMPER,DEX_DZAP,DEX_RUBIC,DEX_RANGO,DEX_ROCKETX,DEX_METAX,DEX_ONEKEY,DEX_DEBRIDGE,DEX_OKUTRADE,DEX_CTRLFI,DEX_ZERION,DEX_FLY
"VINU","ETH","Ethereum","0xAFCdd4f666c84Fed1d8BD825aA762e3714F652c9","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","90|70","150|120","200|170","60|50","200|170","60|50","","","60|50","","","","","","","","","","","","","","","","","150|120","150|120","","","","",""
"XZK","ETH","Ethereum","0xe8fc52b1bb3a40fd8889c0f8f75879676310ddf0","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","90|70","150|120","200|170","60|50","200|170","60|50","","","60|50","","","","","","","","","","","","","","","","","150|120","150|120","","","","",""
"ZKL","ETH","Ethereum","0xfc385a1df85660a7e041423db512f779070fcede","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","90|70","150|120","200|170","60|50","200|170","60|50","","","60|50","","","","","","","","","","","","","","","","","150|120","150|120","","","","",""
"H","USDT","Ethereum","0xcf5104d094e3864cfcbda43b82e1cefd26a016eb","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","90|70","150|120","200|170","60|50","200|170","60|50","","","60|50","","","","","","","","","","","","","","","","","150|120","150|120","","","","",""
"SAHARA","USDT","Ethereum","0xfdffb411c4a70aa7c95d5c981a6fb4da867e1111","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","90|70","150|120","200|170","60|50","200|170","60|50","","","60|50","","","","","","","","","","","","","","","","","150|120","150|120","","","","",""
"CTSI","ETH","ethereum","0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","350|300","350|300","600|550","150|120","600|550","150|120","","","150|120","","","","","","","","","","","","","","","","","350|300","350|300","","","","",""
"TREE","USDT","ethereum","0x77146784315ba81904d654466968e3a7c196d1f3","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","350|300","150|100","600|550","150|120","600|550","150|120","","","150|120","","","","","","","","","","","","","","","","","150|100","150|100","","","","",""
"TURTLE","USDT","ethereum","0x66fd8de541c0594b4dccdfc13bf3a390e50d3afd","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","450|400","350|300","800|700","200|170","800|700","200|170","","","200|170","","","","","","","","","","","","","","","","","350|300","350|300","","","","",""
"SAO","USDT","ethereum","0x3ef389f264e07fff3106a3926f2a166d1393086f","9","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","40|35","40|30","100|80","30|25","100|80","30|25","","","30|25","","","","","","","","","","","","","","","","","40|30","40|30","","","","",""
"BUBBLE","USDT","ethereum","0xe9689028ede16c2fdfe3d11855d28f8e3fc452a3","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","40|35","100|100","100|80","30|25","100|80","30|25","","","30|25","","","","","","","","","","","","","","","","","100|100","100|100","","","","",""
"ZND","USDT","ethereum","0x2d8ea194902bc55431420bd26be92b0782dce91d","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","160|150","200|200","100|80","140|130","100|80","140|130","","","140|130","","","","","","","","","","","","","","","","","200|200","200|200","","","","",""
"TREAT","USDT","ethereum","0xa02c49da76a085e4e1ee60a6b920ddbc8db599f4","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","150|140","130|125","200|180","130|125","200|180","130|125","","","130|125","","","","","","","","","","","","","","","","","130|125","130|125","","","","",""
"TRADE","USDT","ethereum","0x6e5970dbd6fc7eb1f29c6d2edf2bc4c36124c0c1","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","60|50","70|60","100|80","40|35","100|80","40|35","","","40|35","","","","","","","","","","","","","","","","","70|60","70|60","","","","",""
"LEO","USDT","ethereum","0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","70|60","130|120","100|90","50|40","100|90","50|40","","","50|40","","","","","","","","","","","","","","","","","130|120","130|120","","","","",""
"PLTRON","USDT","ethereum","0x0c666485b02f7a87d21add7aeb9f5e64975aa490","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","60|50","75|70","80|70","50|40","80|70","50|40","","","50|40","","","","","","","","","","","","","","","","","75|70","75|70","","","","",""
"LVVA","USDT","ethereum","0x6243558a24cc6116abe751f27e6d7ede50abfc76","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","60|50","75|70","80|70","50|40","80|70","50|40","","","50|40","","","","","","","","","","","","","","","","","75|70","75|70","","","","",""
"LOCUS","USDT","ethereum","0xc64500dd7b0f1794807e67802f8abbf5f8ffb054","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","20|15","30|25","30|25","15|10","20|15","25|20","","","15|10","","","","","","","","","","","","","","","","","30|25","30|25","","","","",""
"PLTRON","ETH","ethereum","0x0c666485b02f7a87d21add7aeb9f5e64975aa490","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","60|50","150|130","90|80","50|40","80|170","70|60","","","50|40","","","","","","","","","","","","","","","","","150|130","150|130","","","","",""
"XYRO","ETH","ethereum","0x4eddb15a0abfa2c349e8065af9214e942d9a6d36","18","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","90|80","150|130","90|80","50|40","180|150","70|60","","","50|40","","","","","","","","","","","","","","","","","150|130","150|130","","","","",""
"CTSI","USDT","ethereum","0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","20|15","30|25","30|25","15|10","20|15","25|20","","","15|10","","","","","","","","","","","","","","","","","30|25","30|25","","","","",""
"BIFIF","USDT","ethereum","0x2791bfd60d232150bff86b39b7146c0eaaa2ba81","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","20|15","30|25","30|25","15|10","20|15","25|20","","","15|10","","","","","","","","","","","","","","","","","30|25","30|25","","","","",""
"WAVES","USDT","ethereum","0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","20|15","30|25","30|25","15|10","20|15","25|20","","","15|10","","","","","","","","","","","","","","","","","30|25","30|25","","","","",""
"ENJ","USDT","ethereum","0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","100|100","100|100","100|100","100|100","100|100","100|100","100|100","","100|100","","","","","","","","","","","","","","","","","","","","","","",""
"RAVE","USDT","ethereum","0x17205fab260a7a6383a81452ce6315a39370db97","18","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","50|40","90|80","50|40","30|25","50|45","40|30","50|45","","50|45","50|90","","","","","","","","","","","","","","100|100","","100|100","150|140","100|100","50|40","","",""
"ADA","USDT","BSC","0x3ee2200efb3400fabb9aacf31297cbdd1d435d47","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"ANKR","USDT","BSC","0xf307910a4c7bbc79691fd374889b36d8531b08e3","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","300|300","300|300","300|300","300|300","300|300","300|300","","","300|300","","","","","","","","","","","","","","","","","300|300","300|300","","","","",""
"AUCTION","BNB","BSC","0x1188d953afc697c031851169eef640f23ac8529c","18","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","150|150","150|150","150|150","150|150","150|150","150|150","","","150|150","","","","","","","","","","","","","","","","","150|150","150|150","","","","",""
"BNT","USDT","BSC","0xa069008a669e2af00a86673d9d584cfb524a42cc","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","30|30","30|30","30|30","30|30","30|30","30|30","","","30|30","","","","","","","","","","","","","","","","","30|30","30|30","","","","",""
"CYBER","USDT","BSC","0x14778860e937f509e651192a90589de711fb88a9","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","500|500","500|500","500|500","500|500","500|500","500|500","","","500|500","","","","","","","","","","","","","","","","","500|500","500|500","","","","",""
"DOGE","USDT","BSC","0xba2ae424d960c26247dd6c32edc70b295c744c43","8","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"EDU","USDT","BSC","0xbdeae1ca48894a1759a8374d63925f21f2ee2639","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","150|150","150|150","150|150","150|150","150|150","150|150","","","150|150","","","","","","","","","","","","","","","","","150|150","150|150","","","","",""
"ETC","UNI","BSC","0x3d6545b08693dae087e957cb1180ee38b9e3c25e","18","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","300|300","300|300","300|300","300|300","300|300","300|300","","","300|300","","","","","","","","","","","","","","","","","300|300","300|300","","","","",""
"ETC","USDT","BSC","0x3d6545b08693dae087e957cb1180ee38b9e3c25e","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","300|300","300|300","300|300","300|300","300|300","300|300","","","300|300","","","","","","","","","","","","","","","","","300|300","300|300","","","","",""
"FIL","USDT","BSC","0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"KNC","BNB","BSC","0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b","18","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","150|150","150|150","150|150","150|150","150|150","150|150","","","150|150","","","","","","","","","","","","","","","","","150|150","150|150","","","","",""
"LTC","XVS","BSC","0x4338665cbb7b2485a8855a139b75d5e34ab0db94","18","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","500|500","500|500","500|500","500|500","500|500","500|500","","","500|500","","","","","","","","","","","","","","","","","500|500","500|500","","","","",""
"MAV","USDT","BSC","0xd691d9a68c887bdf34da8c36f63487333acfd103","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","30|30","30|30","30|30","30|30","30|30","30|30","","","30|30","","","","","","","","","","","","","","","","","30|30","30|30","","","","",""
"PARTI","USDT","BSC","0x59264f02d301281f3393e1385c0aefd446eb0f00","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","200|200","200|200","200|200","200|200","200|200","200|200","","","200|200","","","","","","","","","","","","","","","","","200|200","200|200","","","","",""
"SAND","EDU","bsc","0x67b725d7e342d7b611fa85e859df9697d9378b2e","18","0xbdeae1ca48894a1759a8374d63925f21f2ee2639","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","250|200","200|180","300|300","300|300","300|300","300|300","","","300|300","","","","","","","","","","","","","","","","","300|300","100|90","","","","",""
"SCRT","USDT","BSC","0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","20|20","20|20","20|20","20|20","20|20","20|20","","","20|20","","","","","","","","","","","","","","","","","20|20","20|20","","","","",""
"SHELL","USDT","BSC","0xf2c88757f8d03634671208935974b60a2a28bdb3","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","200|200","200|200","200|200","200|200","200|200","200|200","","","200|200","","","","","","","","","","","","","","","","","200|200","200|200","","","","",""
"SOLV","USDT","BSC","0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"THE","USDT","BSC","0xf4c8e32eadec4bfe97e0f595add0f4450a863a11","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","600|600","600|600","600|600","600|600","600|600","600|600","","","600|600","","","","","","","","","","","","","","","","","600|600","600|600","","","","",""
"TUSD","USDT","BSC","0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","600|600","600|600","600|600","600|600","600|600","600|600","","","600|600","","","","","","","","","","","","","","","","","600|600","600|600","","","","",""
"UNI","XVS","BSC","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"UNI","USDT","BSC","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"WIN","USDT","BSC","0xaef0d72a118ce24fee3cd1d43d383897d05b4e99","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","400|400","400|400","400|400","400|400","400|400","400|400","","","400|400","","","","","","","","","","","","","","","","","400|400","400|400","","","","",""
"XLM","USDT","BSC","0x43c934a845205f0b514417d757d7235b8f53f1b9","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","150|150","150|150","150|150","150|150","150|150","150|150","","","150|150","","","","","","","","","","","","","","","","","150|150","150|150","","","","",""
"XUSD","USDT","BSC","0xf81ac2e1a0373dde1bce01e2fe694a9b7e3bfcb9","6","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","600|600","600|600","600|600","600|600","600|600","600|600","","","600|600","","","","","","","","","","","","","","","","","600|600","600|600","","","","",""
"XVS","USDT","BSC","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","600|600","600|600","600|600","600|600","600|600","600|600","","","600|600","","","","","","","","","","","","","","","","","600|600","600|600","","","","",""
"ZRO","USDT","BSC","0x6985884c4392d348587b19cb9eaaf157f13271cd","18","0x55d398326f99059ff775485246999027b3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","600|600","600|600","600|600","600|600","600|600","600|600","","","600|600","","","","","","","","","","","","","","","","","600|600","600|600","","","","",""
"DOT","USDT","bsc","0x7083609fce4d1d8dc0c979aab8c869ea2c873402","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","600|500","800|700","1000|900","60|50","1000|900","","","","","","","","","","","","","","","","","","","","","800|700","800|700","","","","",""
"XEC","USDT","bsc","0x0ef2e7602add1733bfdb17ac3094d0421b502ca3","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","25|20","40|30","","30|20","","30|20","","","30|20","","","","","","","","","","","","","","","","","40|30","40|30","","","","",""
"NFP","USDT","bsc","0x551897f8203bd131b350601d3ac0679ba0fc0136","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","90|80","40|30","","30|20","10|10","30|20","","","30|20","","","","","","","","","","","","","","","","","40|30","","","","","",""
"SPK","USDT","bsc","0xaff2e841851700d1fc101995ee6b81ae21bb87d7","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","900|800","250|200","1000|900","230|220","1000|900","230|220","","","230|220","","","","","","","","","","","","","","","","","250|200","250|200","","","","",""
"PEOPLE","USDT","bsc","0x2c44b726adf1963ca47af88b284c06f30380fc78","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","100|80","60|45","100|100","50|40","150|120","100|100","","","50|40","","","","","","","","","","","","","","","","","","60|45","","","","",""
"EDEN","USDT","bsc","0x235b6fe22b4642ada16d311855c49ce7de260841","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","25|20","40|35","100|100","20|15","100|100","100|100","100|100","","20|15","","","","","","","","","","","","","","","","","100|100","40|35","","","","",""
"XRP","USDT","bsc","0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","25|20","40|35","100|100","20|15","100|100","100|100","100|100","","20|15","","","","","","","","","","","","","","","","","100|100","40|35","","","","",""
"LTC","PEOPLE","bsc","0x4338665cbb7b2485a8855a139b75d5e34ab0db94","18","0x2c44b726adf1963ca47af88b284c06f30380fc78","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","150|120","200|175","","90|80","","","","","250|200","","","","","","","","","","","","","","","","","100|100","100|100","","","","",""
"EURI","USDT","bsc","0x9d1a7a3191102e9f900faa10540837ba84dcbae7","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","25|20","40|35","100|100","20|15","100|100","100|100","100|100","","30|25","100|100","","","","","","","","","","","","","","","","100|100","15|10","","","","",""
"KERNEL","USDT","bsc","0x9ecaf80c1303cca8791afbc0ad405c8a35e8d9f1","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","15|10","20|15","100|100","10|8","100|100","100|100","100|100","","30|25","","","","","","","","","","","","","","","","","10|10","10|8","","","","",""
"TURTLE","USDT","bsc","0x66fd8de541c0594b4dccdfc13bf3a390e50d3afd","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","15|10","20|15","100|100","10|8","100|100","100|100","100|100","","30|25","","","","","","","","","","","","","","","","","10|10","10|8","","","","",""
"ONT","USDT","bsc","0xfd7b3a77848f1c2d67e05e54d78d174a0c850335","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","15|10","20|15","100|100","10|8","100|100","100|100","100|100","","30|25","","","","","","","","","","","","","","","","","10|10","10|8","","","","",""
"BEL","USDT","bsc","0x8443f091997f06a61670b735ed92734f5628692f","18","0x55d398326f99059fF775485246999027B3197955","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","15|10","20|15","100|100","10|8","100|100","100|100","100|100","","30|25","","","","","","","","","","","","","","","","","10|10","10|8","","","","",""
"TUT","TST","bsc","0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3","18","0x86bb94ddd16efc8bc58e6b056e8df71d9e666429","18","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","125|120","140|135","100|100","120|115","150|140","100|100","100|100","","30|25","","","","","","","","","","","","","","","","","100|100","150|140","100|100","","","",""
"WOO","USDT","Arbitrum","0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b","18","0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9","6","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1000|900","1000|900","1000|900","1000|900","1000|900","1000|900","","","1000|900","","","","","","","","","","","","","","","","","1000|900","1000|900","","","","",""
"ZKJ","USDT","ethereum","0xC71B5F631354BE6853eFe9C3Ab6b9590F8302e81","18","0xdac17f958d2ee523a2206206994597c13d831ec7","6","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","50|40","90|80","50|40","30|25","50|45","40|30","50|45","100|100","50|45","30|25","100|100","100|100","","","","","","","","","40|35","","","","","45|40","","","","40|35","",""